text,selected_text,sentiment
gon na go aunt parti gon na late night thing hop get school tomorrow,gon na go aunt parti gon na late night thing hop get school tomorrow,neutral
anoth day find end tri anoth cart rememb name sigh,anoth day find end tri anoth cart rememb name si,neutral
thank feel happi make ur day great one enjoy fullest n fun alway,enjoy,positive
talk phone someon miss lottt,miss,negative
fml ughhhhhhhhh im go anwher today sit bedroom share mother cri,ughhhhhhhhh,negative
hard find good hous event sacramento area,hard,negative
_babsi manual process take ever outlook databas pffff crappi msft product,crappi ms,negative
_flik_ good one might think year nanowrimo competit,good,positive
get go coffe fun hate,get go coffe fun hate,negative
bu roll along faster expect might make home mayb,faster expect,positive
worri,worri,positive
oh yeah radio play earth wind fire,oh yeah,positive
lol wat u make come da way overr v,lol wat u make come da way overr v,neutral
dayssss ahhhh super excit tell heart wont beat jl awesom yesterday,excit,positive
cute,cute,positive
thx follow r band kind genr play nice meet,thx follow r band kind genr play nice meet,positive
prom tonight bad im go,bad,negative
_r get one either dog pretti sure bunni surviv struggl tom,pretti sure bunni surviv struggl tom,neutral
good day let see get accomplish today togeth,good,positive
realiz tonight drake,realiz tonight drake,neutral
make someth buy someth imperson mom,make someth buy someth imperson mom,neutral
u eat exactli true u digest todayisaprosper product day thankujesu beyebless hee hee,thankujesu beyebless,positive
omg didnt even know friend knew lol small world,omg didnt even know friend knew lol small world,neutral
aaauuuggghhh n check mcdonald check haha next hot cheeto,aaauuuggghhh n check mcdonald check haha next hot cheeto,neutral
shud reali go bed proper tire bt cnt b boverd x,cnt b boverd,negative
watch wizard waverli place,watch wizard waverli place,neutral
ask suit head think look much like,think look much like,negative
babi littl rhythm still sinc inutero,babi littl rhythm still sinc inutero,neutral
unless absolut gorgeou rather men stay cover seen sight today put food ukpub,gorgeou,positive
ok tweep sorri mani twitpic delet pic soon em copi,sorri,negative
home school tonight probabl,home school tonight probabl,neutral
obama ish funni,funni,positive
mmm eat tostito piknik spinach dip r,mmm eat tostito piknik spinach dip r,neutral
much blog time,much blog time,neutral
sooo lost without car truli depress pregnant peopl never stress,depress,negative
want ice cream,want ice cream,neutral
haha nice heard sweet hotel anoth note good game last night,haha nice heard sweet hotel anoth note good game last night,neutral
got car back excit sad go away parti attend tonight dani go back brazil,got car back excit sad go away parti,neutral
famou houston take look,famou houston take look,neutral
hope mom ok,hope,positive
oh lucki u need send mine away get fix,lucki,positive
yep one work love potbelli get az wait chi town trip,yep one work love potbelli get az wait chi town trip,neutral
everyon vote mtv movi award coz comp mash wont let vote somehow,mash,negative
yea friend flew amercia see w jona brother u haha hate bebo p aw cant wait,yea friend flew amercia see w jona brother u haha hate bebo p aw cant wait,neutral
finish film day anoth fun day set hahaha,fun day,positive
click set link public timelin bottom page,click set link public timelin bottom page,neutral
coome ja maiii cah feel alllll right hahaha,feel alllll right,positive
good song,good,positive
dont associ fake ass,fake ass,negative
much buy awesom new phone soni ericsson berri like everyon els,awesom new phone soni ericsson berri like,positive
u,u,neutral
much fun today love alyssa arellano mika rey,much fun today,positive
beauti morn time get enjoy sun,beauti,positive
want trade someon houston ticket one,want trade someon houston ticket one,neutral
smh im sick bug go around almost everyon know sick includ,sick,negative
hour walk hot weather satisfi hurt nelli ow blister,satisfi hurt nelli ow blister,neutral
realli help swear lot realiz haha,help,positive
wow instal twitter fox tire keep refresh browser,wow instal twitter fox tire keep refresh browser,neutral
mother even soon mother happi mother day,happi,positive
recept food long beach graduat champagn,recept food long beach graduat,neutral
back,back,neutral
sweetest love cuz,sweetest love cuz,positive
broken leg comment pleas,broken leg,negative
found old familiar feel,familiar,positive
truli like,truli like,neutral
thank dear know appreci valid alway,thank,positive
need tour date stat,need tour date stat,neutral
assum mean nd item nest line invert call tree button found ï ½ ï ½ ï ½,invert call tree button found,negative
weee internet back home,weee internet back home,positive
stay home work linoleum block carv project due tomorrow probabl pictur,stay home work linoleum block carv project due tomorrow probabl pictur,neutral
ye,ye,neutral
need men give input fill u time soon,need men give input fill u time soon,neutral
oh wait mess mess lyric concret,mess,negative
start wonder go get job came across though find work elsewher need must intent,start wonder go get job came across though find work elsewher need must intent,neutral
like u said give tc chanc miss thoma move watch,like u said give tc chanc miss thoma move watch,neutral
earli send someon airport,earli send someon airport,neutral
day back work day went allllllllright expos swine flu hour that ok think wash hand,day back work day went allllllllright expos swine flu hour that ok think wash hand,neutral
hmm mayb time realli react worst,realli react worst,negative
nooo font connoisseur total relat dude heart goe,heart goe,negative
tonight good night everyon,good,positive
stupid putet let go chat,stupid,negative
thank night,thank night,neutral
leo carillo beach roger state park list state park might close,leo carillo beach roger state park list state park might close,neutral
tip finger hurt lmao,finger hurt lmao,negative
hi howmani peopl follow much help other,hi howmani peopl follow much help other,neutral
weather may make caus temp fell c c yesterday,weather may make caus temp fell c c yesterday,neutral
feel bad john kate,bad,negative
hungraaaaaaaaay eat go away twitter lunch,hungraaaaaaaaay eat go away twitter lunch,neutral
goodnight ps thank jailbreak ipod staci,goodnight ps thank jailbreak ipod staci,neutral
ugh got stop bite nail grrrrr,ugh got stop bite nail grrrrr,negative
well come nigguh thing may go like phuket bali afterward,well come nigguh thing may go like phuket bali afterward,neutral
haha hi mum wow ye modern need get facebook account p talk write,wow,positive
yeah sound good,sound good,negative
procrastin like,procrastin like,neutral
muji yipe anybodi come send hahaha somebodi bring jt bsg disk haha,muji yipe anybodi come send hahaha somebodi bring jt bsg disk haha,neutral
hot weather lose clean clean heat suck ball,suck,negative
yay bought american dad volum also seen australia dvd could lot cheaper go,yay,positive
_benson macarena never look good love aaaaiieee squeak exclam,macarena never look good love,positive
fun jessica alba weekli twitter follow count start look like movement,fun jessica alba weekli twitter follow count start look like movement,neutral
saw lil girl big eye hair like dora explor cute,cute,positive
danc pirouett ballerina hug morn awesom brudder,morn awesom brudder,positive
thank sweeti understand peopl mad someth made choic life,thank,positive
good luck breakfast search us go bed lol goodnight david,good luck wi,positive
gray feel neglect,feel neglect,negative
sleep peopl keep textin,sleep,negative
exam,exam,neutral
happi hour ccp eithah bad,bad,negative
wish outsid instead trap offic,wish,positive
funnn,funnn,positive
watch thoma train engin make miss georg carlin,miss,negative
dsi latest nintendo ds camera stuff built gadget hous luckili get blackberri free work,luckili,positive
_dave meani,_dave meani,neutral
well guess depend undergar,well guess depend undergar,neutral
week fun hope next week even better nyc day,fun,positive
worri repli send sm,worri,negative
happi mother day mommi grandma haha ili,happi mother day mommi grandma haha ili,positive
want know tri ask p kia still repli chang statu away,want know tri ask p kia still repli chang statu away,neutral
_ yeah work hr,_ yeah work hr,neutral
anyon know scale pic tri chang pic pic r big n keep crop help,help,negative
one get carri,one get carri,neutral
make googl search page name,make googl search page name,neutral
thankyou ur night,thankyou,positive
bird flew window parent hous snap poor neck got ta buri,snap poor neck got ta buri,negative
awak anybodi els awak wish live us sinc fun happen asleep,sinc fun happen asleep,positive
way sydney yeah guy like semi older version short stack howev talent,way sydney yeah guy like semi older version short stack howev talent,neutral
thank follow,thank,positive
feel day left glass peac uniti,feel day left glass peac uniti,neutral
guy keep vote ask u r follow help day left competit close,guy keep vote ask u r follow help day left competit close,neutral
play left dead friend gilbert louie fun happi mother day mom,play left dead friend gilbert louie fun happi mother day mom,neutral
wait around boyfriend queen look like go pour dt bklyn umbrellaless,wait around boyfriend queen look like go pour dt bklyn umbrellaless,neutral
_benson absolut legend love love love,absolut legend love love love,positive
lost fight tweefight lost pleas reveng tri,lost fight tweefight lost pleas reveng tri,neutral
castiel loveeeeeeeeeeeeeeeeeeeee,loveeeeeeeeeeeeeeeeeeeee,positive
bullhorn tell ur friend follow come onnnnnnnnnnnn ppl,bullhorn tell ur friend follow come onnnnnnnnnnnn ppl,neutral
go see grandad today,go see grandad today,neutral
kno cant deal life,cant deal,negative
feel crappi today,feel crappi today,negative
made mind,made mind,neutral
_pina_ good wouldnt like girl flirt colleagu would,good,negative
woke coffe listen music read rss sunday feel great,sunday feel great,positive
mom want lay later probabl littl sorri sick,sorri sick,negative
yeah hate sorri ur goin thru,hate,negative
doggon got hour nap realli want ponderosa chicken wing,doggon got hour nap realli want ponderosa chicken wing,neutral
_mc string dress work track pleas u come ur biggest fan,fan,positive
thankyou much rock,thankyou,positive
couldnt come see southend nd couldnt get ticket ill come see solo tour,couldnt come see southend nd couldnt get ticket ill come see solo tour,neutral
dey homi wish would stop rain alreadi plu vacay almost,dey homi wish would stop rain alreadi plu vacay almost,neutral
work climb season episod,work climb season episod,neutral
fo shizzl bore wan na go someth wish went pisay today oh wellz wonder,bore,negative
binstruct suffer updat mib packag develop packag holiday,suffer,negative
also think talk okay need get bed btw miss brother,miss brother,negative
link work,link work,negative
good day ya happi mom day,good,positive
im offici done school til fall,im offici done school til fall,neutral
start long messag got longer wrote,start long messag got longer wrote,neutral
_warwounds_c feel ya pain got nasti cold get better soon,feel ya pain got nasti cold get better soon,neutral
almost lunch time,almost lunch time,neutral
aww cuti,aww cuti,positive
thank follow doug like hat,thank,positive
happi mother day singl dad play mom dad role enjoy day,happi mother day singl dad play mom dad role enjoy day,positive
good day lot stretch sleep sun,good day,positive
want go cri way home,go cri way home,negative
go dinner two us niceeee,niceeee,positive
hairdy patch test smear white duvet cover,smear,negative
wonder mommi world,wonder,positive
wow definit friday gym complet empti like play wii guess vacuum,wow definit friday gym complet empti like play wii guess vacuum,neutral
hell go school hour next monday tuesday dumb snow day thier lame rule mom make go,hell go school hour next monday tuesday dumb snow day thier lame rule mom make go,negative
dana found get take lunch rather hour hello deliveri,dana found get take lunch rather hour hello deliveri,neutral
oww even describ much back hurt go go stupid doctor,stupid,negative
wow god whole ui sooo much snappier respons tweetdeck tweet feel like im lol,wow god whole ui sooo much snappier,neutral
ha im glad stop rain umbrella broke today,ha im glad stop rain umbrella broke today,neutral
eh shut freeway omw job interview guess gon na late,late,negative
true like ur momma style,like ur momma style,positive
great cloud realli realli dark grey right outsid offic window sure lotta precip,great,positive
morn darlin hope feelin tip top,morn darlin hope feelin tip top,positive
guy noth free life shidduch money,guy noth free life shidduch money,neutral
ohhh love glad great time,ohhh love glad great time,positive
think coffe work agre tummi,think coffe work agre tummi,negative
thank carri crazi,thank carri crazi,positive
good luck auction,good luck auction,positive
watch cav,watch cav,neutral
guy said want spank,guy said want spank,negative
one even like answer life last night pshh,one even like answer life last night,negative
time revis listen album non stop day,time revis listen album non stop day,neutral
hahah lucki wait day poop lol about gold coast u dnt mind ask,lucki,positive
see craig might hog u guy haha work till tonight anyway,see craig might hog u guy haha work till tonight anyway,neutral
spot tweet without thank share tonight,thank share tonight,positive
wish jonathon ross audienc right,wish jonathon ross audienc right,neutral
yeah peep good day catchup everyon,good day,positive
yeah ok probabl happen,yeah ok probabl happen,neutral
oh whatev excit anyway,r excit anyway,positive
_dang phone still broken come whenev,broken,negative
love cute texi messag especi call mandi,love,positive
_cordon morn done bit week go tri get done advanc,_cordon morn done bit week go tri get done advanc,neutral
haha rememb trip fun miss miss miss miss miss chu,haha rememb trip fun miss miss miss miss miss chu,neutral
sprain ankl like realli badli tore stuff hurt birthday weekend,badli,negative
ate foot long subway like hour ago omg happi full ate sinc b fast happi li,happi,positive
sorri day bad gettin drink good plan,sorri day bad gettin drink good plan,neutral
thank,thank,positive
love clutch lust one bright yellow,love clutch,positive
chanc see race germani unfortun hardli tv news coverag cycl anymor,unfortun,negative
nite tweepl tomorrow day work,nite tweepl tomorrow day work,neutral
oh difficult nut market home turf,oh difficult,positive
work mama sweetdream,work mama sweetdream,positive
ugh hate photobucket amaz place edit pictur use alll time,ugh,negative
good morn anoth late sleeper one excel design valeri see pictur,one excel design,positive
twitter connect facebook,twitter connect facebook,neutral
tgif short week wayyyyyi long,long,negative
yeah,yeah,neutral
tell,tell,neutral
mind abuzz advertis industri standard hate like math ok,mind abuzz advertis industri standard hate like math ok,neutral
lost work nt happi right sloanster,lost,negative
k slice left,k slice left,neutral
bodi alreadi develop mind mind refus co oper set schedul,bodi alreadi develop mind mind refus co oper set schedul,neutral
asleep brother woke ask ate rest frost mini wheat go back sleep,go back sleep,negative
aww cant wait back la,aww cant wait back la,positive
explor twitter world,explor twitter world,neutral
wonder awak write new song plot evil secret plot muahahaha oh secret anymor,wonder awak write new song plot evil secret plot muahahaha oh secret anymor,neutral
lost pocket knife suggest replac ken onion chive,lost pocket knife suggest replac ken onion chive,neutral
work play,work play,neutral
lol see sunburnnn achurley bad least dont think xd,lol see sunburnnn achurley bad least dont think,neutral
_writer aww one,_writer aww one,neutral
enjoy coffe super delici cooki,delici,negative
pretti cool kid adult fun,pretti cool kid adult fun,positive
gave homeless ladi name rubi ice cream sandwich cigarett g deed day p,gave homeless ladi name rubi ice cream sandwich cigarett g deed day p,positive
yeah everyth becom difficult generalis break easi problem,easi problem,negative
hate move,hate,negative
happi juddday carri,happi,positive
aku kbangun gara mimpi bad dream,bad dream,negative
sick week still feel well go lena cook gunna spend time fam,sick week still feel well,negative
feel pretti gud dont even hangov nice feel,feel pretti gud dont even hangov nice feel,positive
say,sa,neutral
_truong sunba bad jst scratch wht said im talk nonsens lol enjoy perf,bad jst scratch wht said im talk nonsens lol enjoy perf,neutral
yep still seat left pracc workshop w see,yep still seat left pracc workshop w see ther,neutral
hehe yeah late hun,hehe yeah late hun,neutral
home tonight much fun goodnight twitterbug,fun,positive
chat willi valdez comic,chat willi valdez comic,neutral
pretti amaz weekend far bedtim exhaust mother day tomorrow nighti night,pretti amaz weekend far bedtim exhaust mother day tomorrow nighti night,neutral
think pull,think pull,neutral
neeeeed plan one hang tomorrow booo,neeeeed plan one hang tomorrow booo,neutral
wan na go go wan na find know david mileyyyyyi,wan na go go wan na find know david mileyyyyyi,neutral
greg pritchard got threw final britain got talent,greg pritchard got threw,negative
ahhhaaaaa gunna get straight back,ahhhaaaaa gunna get straight back,neutral
thank homski like christma,thank,positive
ray best mean lot say wait hang hope soon,best,positive
like tweeti better use time,like,positive
hmmmm wonder number,hmmmm wonder number,neutral
alreadi nooooooo,nooooooo,negative
agre,agre,neutral
feelin lone spendin last hour friend,feelin lone,negative
yeah next time,yeah next time,neutral
aww mom appreci much familia leav tour,appreci,positive
chili night minneapoli refus turn heat may,chili night minneapoli refus turn heat may,neutral
georg lopez bed mommi day tomorrow wish hous hugh lauri sexay sometim like way older guy,like,positive
rain rain go away,go away,negative
spend wonder mother day brad mom dad happi mother day mom,spend wonder mother day brad mom dad happi mother day mom,positive
finish bake cinnamon roll soooo yummi,finish bake cinnamon roll soooo yummi,positive
ice cream,ice cream,neutral
know made lose,know made lose,neutral
happi star war day ja ja bink ha crappi day outsid though ah well make bit motiv revis,happi star war day ja ja bink ha crappi day outsid though ah well make bit motiv revis,neutral
week palm pre come centro die temp phone contact transfer yet sadpanda fb,week palm pre come centro die temp phone contact transfer yet sadpanda fb,neutral
msn,msn,neutral
cours evil day job want stay longer need win lotteri,win,positive
philosoph mood tonight wander round dark,philosoph mood tonight wander round dark,neutral
there thing,there thing,neutral
awesom,awesom,positive
back e nice doctor diagnos ligament damag felt could still k run might take day heal,nice,positive
today last offici day uni balanc uni work music til octob atleast,today last offici day uni balanc uni work music til octob atleast,neutral
thought tie shoe figur,thought,negative
anoth manic monday wish sunday fun day happi monday twitterland,fun,positive
down live abalon sashimi bottl sake father law happi,happi,positive
probabl good idea hard tweet web miss tweetdeck cri,hard,negative
braid free miss thee blond come,braid free miss thee blond come,neutral
almost case swine australia hope may still decid come visit,almost case swine australia hope may still decid come visit,neutral
chica two day want us ell,chica two day want us ell,neutral
rap battl second sat moviesss haha swim lake sex matthew ghost girlfriend past,rap battl second sat moviesss haha swim lake sex matthew ghost girlfriend past,neutral
rememb put phone silent lol night lovee,lovee,positive
listen,listen,neutral
first weekend home,first weekend home,neutral
jungl book mari poppin bug life depend want cartoon live action cgi,jungl book mari poppin bug life depend want cartoon live action cgi,neutral
good morn tweeti today rest richmond readi hit beach,good,positive
must love sydney dont leav us sydney kid,love,positive
babi,babi,neutral
crash wi high miss mayfield,miss,negative
ugh go skool,ugh go skool,neutral
bluedart take shipment way figur deliv bring back databas anyon,bluedart take shipment way figur deliv bring back databas anyon,neutral
lol bike manli,lol bike manli,neutral
wake ungodli hour go work start get old least coffe good,good,positive
hi angela check email need one thing sorri day,sorri,negative
finsh work eleven even allowd cauz realli dont want lol,z realli dont want,negative
microsoft announc window releas candid download avail tomorrow,microsoft announc window releas candid download avail tomorrow,neutral
never make cri everytim lol,never make cri everytim lol,neutral
black russian make think white russian movi quotat rug realli tie room togeth,black russian make think white russian movi quotat rug realli tie room togeth,neutral
fun wango tangooo,fun,positive
hit christian head metal bat haha sock eye haha miss reckless littl kid,hit christian head metal bat haha sock eye haha miss reckless littl kid,negative
shame,shame,negative
nessa maxim magazin hot,maxim magazin hot,neutral
guess meant chang,guess meant chang,neutral
parent wacht tv terribl noth els sad,terribl,negative
place call ut take somebodi,place call ut take somebodi,negative
dinner crown south moreton david stroppi teenag,dinner crown south moreton david stroppi teenag,neutral
get text,get text,neutral
plenti good trivia wikihow tri help hope u got sleep,good,positive
time add rfid ed object send messag twitter everytim use coffe cup armani code panton mug,time add rfid ed object send messag twitter everytim use coffe cup armani code panton mug,neutral
xo,xo,neutral
oh plzzzzz u never time,oh plzzzzz,negative
emma go see divers today x,emma go see divers today x,neutral
learnt someth new today,learnt someth new today,neutral
follow sad,sad,negative
said get mcfli live album morrow what call,said get mcfli live album morrow what call,neutral
saw best back comb poofi bang morn yo high time turn around gone pictur,saw best back comb poofi bang morn yo high time turn around gone pictur,neutral
need one,need one,positive
dog go die somebodi save,aam dog go die somebodi save,negative
g gent season,g gent season,neutral
yep,yep,neutral
great day work kid disappoint roof decal,great day work kid disappoint roof decal,neutral
feel extrem ill,feel extrem ill,negative
respect travi clark gone notch,respect travi clark gone,negative
twitter suck,twitter suck,negative
_rahal thing live alway undevelop pictur futur,thing live alway undevelop pictur futur,neutral
know see peopl love countri could get closer,know see peopl love countri could get closer,positive
work thank ppl get freakin starbuck peac ppl,work thank ppl get freakin starbuck peac ppl,neutral
realiz fantast nerdfriend longer live rochest,realiz fantast nerdfriend longer live rochest,neutral
like buck shot kind camera,like buck shot kind camera,neutral
twenti cricket beer sunshin good well apart beer caus tablet,twenti cricket beer sunshin good well apart beer caus tablet,positive
say lo page doesnt exist,say lo page doesnt exist,neutral
get hitch get,get hitch get,neutral
tonight fun love girl tanna,fun,positive
think up web site hate still brew suppli packag held hostag work slow up deliveri,hate,negative
cant wait leav work,cant wait leav work,neutral
tire work king bounti add vampyr stori even x men comix complet donload,tire af,negative
wait real bed haha,wait real bed,positive
goodmorn tweedl happi mood think alway past weekend lol vid beyonc weeknd come soon,goodmorn,positive
realli alway dirti ha ha addict,dirti,negative
awww boo love girli thingss,love,positive
chillin promot muzik eat lmaao,chillin,positive
guess freaki follow,freaki,negative
feel like tweet reason um hiiiiii,feel like tweet reason,negative
big moan dave leyrock im hr piti coloursfest ahoy xo,piti,negative
_ good morn earli feel enthus design life thank manic phrase,feel enthus,positive
yesssssssssss rocket moon go warp,yesssssssssss rocket moon go warp,neutral
wake got flu,flu,negative
burn tongu ton soup,burn tongu ton soup,neutral
weather ugh someth like asthma yeah ventolin,weather ugh someth like asthma,negative
pre made jelli bradi,pre made jelli bradi,neutral
anyon els problem follow unfollow peep gone week,problem,negative
kind miss certain someon alreadi never get see,kind miss certain someon alreadi never get see,neutral
need make new video,need make new video,neutral
hey peter thank follow mani sydney pastor tweet shame bri pastor twitter behind,hey peter thank follow mani sydney pastor tweet shame bri pastor twitter behind,neutral
plan week go good go get lot stuff done,good,positive
yay final get trip away home excit go shop bit,excit,positive
home sting crunk cours long day n nite also visit boy rob v good happi mother day word yo mutha,good happi mother day,positive
excit enfest yaaaay,excit,positive
would love plan,love,positive
want cool,want cool,positive
tri buy new bibl dog chew,tri buy new bibl dog chew,neutral
wordsaftersex never start,wordsaftersex never start,negative
kick back home,kick back home,neutral
stayin dustin tonight car hate,hate,negative
l ice grand half sweet french vanilla soy milk starbuck mean summaa come,summaa come,positive
job hunt yay,job hunt yay,neutral
slept till shoot new vid today,slept till shoot new vid today,neutral
sean watch hous thousand corp,sean watch hous thousand corp,negative
move nesbitt,move nesbitt,neutral
love call caus live argentina realli realli love mitchel,love,positive
bryan sweet didnt think gon na talk toward end night talk,sweet,positive
haha alway day trip friend time know basic japanes,haha alway day trip friend time know basic japanes,neutral
pride next weekend long beach,pride,positive
oh somebodi hack email scare,hack,negative
watch termin cri one movi make cri reason arni die im lame,watch termin cri one movi make cri reason arni die,negative
even listen susan green polici,even listen susan green polici,neutral
alway catch away comput,alway catch away comput,neutral
sore yesterday definit feel hill leg hurt way booti good hurt,good hurt,positive
want ya l shoulv gone rm,want ya l shoulv gone rm,neutral
thing know star trek joke tina fey twitter may th,joke,positive
ack cours person think know,ack cours person think know tha,neutral
give contact person make cheesecak,give contact person make cheesecak,neutral
decid time someth devil alway counteract frustrat discourag,counteract frustrat discourag,neutral
hate sick miss,hate sick,negative
thank good starbuck ice coffe feel sluggish today think aw la weather,thank good starbuck ice coffe feel sluggish today think aw la weather,neutral
uh final home complet wipe,wipe,negative
offici hit wall total nonfunctionalproduct work,hit wall,negative
tri reorgan plan tonight uggg hope still lot fun,hope,positive
grrh phone brand new might add keep switch other say,grrh,negative
love knw gna cut stuff tv,love knw gna cut stuff tv,neutral
memor first line gener prologu canterburi tale ughhh,memor first line gener prologu canterburi tale ughhh,neutral
hate work night co realli abl enjoy gorgeou weather asleep,hate work night co realli abl enjoy gorgeou weather asleep,negative
fabul interraci woot,fabul interraci woot,positive
got day paint,got day paint,neutral
yep day whoop,yep day whoop,neutral
_home ye would perfect suppos happen last night still dri usual happen head appt,would perfect,positive
yeah agre btw check linuxoutlaw,yeah agre btw check linuxoutlaw,neutral
glad got safe saw daughter enjoy time,glad,positive
probabl one best surpris ever realli amaz,amaz,positive
follow keep updat latest danc scene event,follow keep updat latest danc scene event,neutral
date,date,neutral
live q definit best part twitter,best part,positive
feel weak tire seat front pc realli need studi ha long quiz,feel weak tire,negative
th month,th month,neutral
look tadpol look foolish dog,foolish,negative
go watch dogtown hope sad,hope,positive
want tuna salmon sashimi b c roll dragon eye,want tuna salmon sashimi b c roll dragon eye,neutral
lindo absolut rule post pictur somewher time back work today,absolut rule,positive
get dizzi go lower origin rais pleas think less,get dizzi go lower origin rais pleas think less,negative
couldnt respond cuz max,couldnt respond cuz max,negative
got sniffl,got sniffl,neutral
honeymoon good life,honeymoon good life,neutral
realli put pic guess,realli put pic guess,neutral
cough drop tast gross blaaaqhhh,cough drop tast gross blaaaqhhh,negative
stream video phone,stream video phone,neutral
yeahh yeah hifi lol grr dad pain said dont find anyon go cant go,pain,negative
sunday runday outta bed onto road,sunday runday outta bed onto road,neutral
danc around clean hous love sunday far,love sunday,positive
look awesom heel yet afraid,look awesom heel yet afraid,neutral
feel like talk realli realli long time,feel like talk realli realli long time,negative
caus hear guy,caus hear guy,neutral
get termin kill realli forc quit,get termin kill realli forc quit,neutral
rocki cola diner whittier tonight teacher pal mr b great time chat one els came,great,positive
spell name alyson ali short spell best,spell best,positive
intern fuse either poop might get spare loft although might job peopl,intern fuse either poop might get spare loft although might job peopl,neutral
ok son bath gon na see find quick quot gon na miss ya weekend alreadi gettin sad,sad,negative
wave make ok,wave make ok,positive
pleas hear still shame sometim hear men,shame,negative
mmm hot chocol ugboot topgear life good,life good,positive
ohh poor girl email reli octob mr,poor girl,negative
friend use logic must admit like mac,friend use logic must admit like mac,neutral
oh crash ball pump,crash,negative
thank point crucial problem taken care cc,thank point crucial problem taken care c,positive
overwhelm lead strawberri lemonad husband vote banana foster tho,overwhelmi,positive
omfg favourit jerk chicken place close,omfg,negative
omgood back school soon fun,fun,positive
lol yeah well appli groceri store,lol yeah well appli groceri store,neutral
grat aaron christin,grat aaron christin,neutral
lol love macbook oh imac decid love ok imac trump macbook,love,positive
evr brng starbux corieographi,evr brng starbux,neutral
stuck traffic,stuck traffic,neutral
want go vp one will come,want go vp one will come,neutral
like hr shirt inspir think witti rude hr like say never actual wear,like hr shirt,positive
beauti stay insid,beauti,positive
got peopl let skip sci pratic beco skola impt wast parent money nt fair,wast parent money nt fair,negative
get self nice cup tea turn music,nice,positive
err get timthumb url,err get timthumb url,neutral
still half math worksheet scienc wb page worksheet english go feel sniffl dri eye come along,still half math worksheet scienc wb page worksheet english go feel sniffl dri eye come along,neutral
_kay plant garden last week ive got check,_kay plant garden last week ive got check,neutral
saw tweet coupl week ago hashtag want contribut sinc huge mitch fan,huge mitch fan,positive
ok accept slave role wish command hahaha,ok accept slave role wish command hahah,neutral
im tire miss dione alreadi,tire,negative
expens could without moment,expens could without moment,neutral
plane ticket expens,expens,negative
unfortun choos sleep gym almost everyday tri get,unfortun,negative
want appli job,want appli job,neutral
haha chanc tweet rubbish back,rubbish,negative
woke busi busi busi day bake bbyshow cupcak jay bday cake bleach hair see boo,woke busi busi busi day bake bbyshow cupcak jay bday cake bleach hair see boo,neutral
realli say much none set stone plan chariti concert cystic fibrosi,realli say much none set stone plan chariti concert cystic fibrosi,neutral
life chang redhead got away,life chang redhead got away,neutral
major crampl,major crampl,negative
whaaaaaaaaaat tha hot b super nice,b super,positive
hey wait final edit cover sombodi babi wait input,hey wait final edit cover sombodi babi wait inpu,neutral
mani good show come money buy ticket fmfl brand new troub,good,positive
pm ok let go bowman strategicclock first break aargh tire,tire,negative
saw costa st pancra didnt much time drink next time tri,saw costa st pancra didnt much time drink next time tri,neutral
grrrr got wrong size coat sheep,wrong size,negative
_mcflyy finali chanc came kill mwahaha ha cool ha,_mcflyy finali chanc came kill mwahaha ha cool ha,neutral
ohhh bad ye heh heh,bad,negative
total unsurpris dave come back annalisa wrong opposit big warm mellow dave,unsurpris,negative
need nap take train,need nap take train,neutral
got back absolut exhaust hour work,absolut exhaust,negative
pen jam clear click,pen jam clear click,neutral
know stormi outsid hair look cute today hahah,cute,positive
ahh okay make sens start prepar,sens,positive
gaaay,gaaay,neutral
juss drop wife love,love,positive
earli monday great raini monday great,earli monday great raini monday great,negative
wonder end hay,wonder end,negative
oh beauti happi great time heartz,oh beauti,positive
better get mad use floor,better get mad use floor,neutral
iphon open download app thing forgot cord home,forgot,negative
get go wakeboard good caus lush night,good,positive
made laugh sorri gret go pool room,made laugh sorri gret,neutral
gooooooood night cant believ tomoroo cancel still gon na giid night gni cant beat,gooooooood night cant believ tomoroo cancel still gon na giid night gni cant beat,neutral
feel today way stress,today way stress,negative
gah money least bakugan,gah,negative
yeah actual went room look counter,yeah actual went room look counter,neutral
happi monday lot littl thing today tri water plant front earli jammi got caught two neighbor,happi,positive
take away,take away,neutral
mother happi mother day mom god bless yhaw,happi mother day,positive
think lot revis tomorrow woo hope sunni one,hope,positive
go movi,go movi,neutral
post later comp,post later comp,neutral
awww wish brew b,awww wish,positive
ntah realli wan na,wan na,positive
start love twitter facebook detox diet work great,diet work great,positive
omg heater room day school boil,omg,negative
love chicago tonight amaz,love,positive
gim wan na tri soulja boy tell em live live,gim wan na tri soulja boy tell em live live,neutral
welcom cours,welcom cours,positive
may th,may,positive
wow leav facebook alon weekend get new notif whew,whew,positive
ugh im cri write rant tumblr,ugh im cri write rant tumblr,negative
even better kapsel cha dy nuli note spertinya gw ga ditag cuz g ada notificationnya huhu,even better,negative
like goo goo doll heard iri absolut love,absolut love,positive
get readi go studi outsid fun nice sunni day,fun,positive
anyon yucki new throwback pepsi mountain dew yet plan keep around drink,anyon yucki new throwback pepsi mountain dew yet plan keep around drink,negative
ashley get sick ugh lose voic nooo,get sick ugh lose voic,negative
dont like dentist make gum hurt,make gum hurt,negative
woke nap final got sleep need,final got sleep need,positive
head south jack mess around sr,head south jack mess around sr,neutral
wud im work srri,wud im work srri,neutral
got leaver dress,got leaver dress,neutral
